column,type,null_count,null_ratio
uuid,VARCHAR,0,0.0
professional_persona,VARCHAR,0,0.0
province,VARCHAR,0,0.0
district,VARCHAR,0,0.0
occupation,VARCHAR,0,0.0
bachelors_field,VARCHAR,0,0.0
education_level,VARCHAR,0,0.0
housing_type,VARCHAR,0,0.0
family_type,VARCHAR,0,0.0
military_status,VARCHAR,0,0.0
marital_status,VARCHAR,0,0.0
age,BIGINT,0,0.0
sex,VARCHAR,0,0.0
career_goals_and_ambitions,VARCHAR,0,0.0
hobbies_and_interests_list,VARCHAR,0,0.0
hobbies_and_interests,VARCHAR,0,0.0
skills_and_expertise_list,VARCHAR,0,0.0
skills_and_expertise,VARCHAR,0,0.0
cultural_background,VARCHAR,0,0.0
persona,VARCHAR,0,0.0
family_persona,VARCHAR,0,0.0
culinary_persona,VARCHAR,0,0.0
travel_persona,VARCHAR,0,0.0
arts_persona,VARCHAR,0,0.0
sports_persona,VARCHAR,0,0.0
country,VARCHAR,0,0.0
